,2020,2021,abril 2022 previsión para 2022,Octubre 2022 previsión 2022,2023
Sureste Asiático y Pacífico,1.2,7.2,5.0,3.2,4.6
Sureste Asiático y Pacífico (excluido China),-3.6,2.6,4.8,5.3,5.0
ASEAN-5,-3.8,3.4,4.9,5.4,5.1
China,2.2,8.1,5.0,2.8,4.5
Indonesia,-2.1,3.7,5.1,5.1,5.1
Malasia,-5.5,3.1,5.5,6.4,4.2
Filipinas,-9.5,5.7,5.7,6.5,5.8
Tailandia,-6.2,1.5,2.9,3.1,4.1
Vietnam,2.9,2.6,5.3,7.2,6.7
Camboya,-3.1,3.0,4.5,4.8,5.2
Laos,0.5,2.5,3.8,2.5,3.8
Mongolia,-4.4,1.6,2.5,2.4,5.5
Myanmar,3.2,-18.0,1.0,3.0,
Países insulares del Pacífico,-9.5,-3.3,2.9,5.3,5.7