Entity,Year,production|Petroleum|Crude|tonnes
Colombia,1970,11619000
Colombia,1971,11413000
Colombia,1972,10403000
Colombia,1973,9737000
Colombia,1974,8910000
Colombia,1975,8311000
Colombia,1976,7747000
Colombia,1977,7089000
Colombia,1978,6739000
Colombia,1979,6394000
Colombia,1980,6486000
Colombia,1981,6896000
Colombia,1982,7308000
Colombia,1983,7657000
Colombia,1984,8633000
Colombia,1985,9084000
Colombia,1986,15629000
Colombia,1987,19835000
Colombia,1988,19358000
Colombia,1989,20839000
Colombia,1990,22647000
Colombia,1991,21926896
Colombia,1992,22593500
Colombia,1993,23358814
Colombia,1994,23405400
Colombia,1995,30155238
Colombia,1996,32286570
Colombia,1997,33622738
Colombia,1998,38885956
Colombia,1999,42041092
Colombia,2000,35527000
Colombia,2001,31158988
Colombia,2002,29734320
Colombia,2003,27858918
Colombia,2004,27274443
Colombia,2005,27128522
Colombia,2006,27189857
Colombia,2007,27373951
Colombia,2008,30363501
Colombia,2009,34571842
Colombia,2010,40493559
Colombia,2011,47185198
Colombia,2012,48672814
Colombia,2013,51660305
Colombia,2014,51059991
Colombia,2015,51841046
Colombia,2016,45661017
Colombia,2017,45000000
Colombia,2018,45600000
Colombia,2019,46700000
Colombia,2020,41300000
Colombia,2021,38800000
Colombia,2022,39700000
Venezuela,1970,194306000
Venezuela,1971,185620000
Venezuela,1972,168437000
Venezuela,1973,175776000
Venezuela,1974,156167000
Venezuela,1975,122400000
Venezuela,1976,120170000
Venezuela,1977,117189000
Venezuela,1978,113628000
Venezuela,1979,124106000
Venezuela,1980,114788000
Venezuela,1981,111687672
Venezuela,1982,100391367
Venezuela,1983,95525697
Venezuela,1984,94658820
Venezuela,1985,88009031
Venezuela,1986,93744112
Venezuela,1987,95256500
Venezuela,1988,99918498
Venezuela,1989,99939123
Venezuela,1990,111876674
Venezuela,1991,125041231
Venezuela,1992,125762000
Venezuela,1993,130200000
Venezuela,1994,137000000
Venezuela,1995,150000000
Venezuela,1996,160000000
Venezuela,1997,165438000
Venezuela,1998,174291000
Venezuela,1999,160175000
Venezuela,2000,165156000
Venezuela,2001,159941000
Venezuela,2002,158609000
Venezuela,2003,131400000
Venezuela,2004,145200000
Venezuela,2005,154500000
Venezuela,2006,151200000
Venezuela,2007,152100000
Venezuela,2008,151000000
Venezuela,2009,149900000
Venezuela,2010,142500000
Venezuela,2011,141600000
Venezuela,2012,139200000
Venezuela,2013,137600000
Venezuela,2014,138500000
Venezuela,2015,135400000
Venezuela,2016,120100000
Venezuela,2017,114100000
Venezuela,2018,83800000
Venezuela,2019,52100000
Venezuela,2020,32700000
Venezuela,2021,33400000
Venezuela,2022,37300000